Fri Aug 28 2015 20:56:10 GMT+0800 (China Standard Time),,s3w33,focus,
Fri Aug 28 2015 20:56:10 GMT+0800 (China Standard Time),,s3w34,focus,
Fri Aug 28 2015 20:56:11 GMT+0800 (China Standard Time),,s3w35,focus,
Fri Aug 28 2015 20:56:12 GMT+0800 (China Standard Time),,s4w1,focus,
Fri Aug 28 2015 20:56:12 GMT+0800 (China Standard Time),,s4w2,focus,
Fri Aug 28 2015 20:56:15 GMT+0800 (China Standard Time),,s4w1,focus,
Fri Aug 28 2015 20:56:16 GMT+0800 (China Standard Time),,s4w1,focus,
Fri Aug 28 2015 20:56:17 GMT+0800 (China Standard Time),,s4w1,label,"D"
Fri Aug 28 2015 20:56:17 GMT+0800 (China Standard Time),,s4w2,focus,
Fri Aug 28 2015 20:56:18 GMT+0800 (China Standard Time),,s4w3,focus,
Fri Aug 28 2015 20:56:18 GMT+0800 (China Standard Time),,s4w4,focus,
Fri Aug 28 2015 20:56:19 GMT+0800 (China Standard Time),,s4w5,focus,
Fri Aug 28 2015 20:56:19 GMT+0800 (China Standard Time),,s4w6,focus,
Fri Aug 28 2015 20:56:19 GMT+0800 (China Standard Time),,s4w7,focus,
Fri Aug 28 2015 20:56:20 GMT+0800 (China Standard Time),,s4w8,focus,
Fri Aug 28 2015 20:56:20 GMT+0800 (China Standard Time),,s4w9,focus,
Fri Aug 28 2015 20:56:20 GMT+0800 (China Standard Time),,s4w10,focus,
Fri Aug 28 2015 20:56:21 GMT+0800 (China Standard Time),,s4w11,focus,
